Flag	Value	Function	Comment
**`-j/--threads`**	Default: all available CPUs	Number of CPU cores to use.	► If the value is smaller than the number of available CPUs, make sure set the same value to `-c/--chunks`.
`--soft-masking`	Default: false	Support soft-masked sequences	► Lowercase bases in soft-masked low-complexity regions will be treated as A's and won't be seeded, while they will be saved for base-level alignment.
